段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
前提	P-0	入力パラメータ（地代家賃親設定・初期）	段階別歩合/最大値選択/3段階/固定180,532/5%8%10%(3M7M)/最低保証800,000/対象率50%/適用開始03/01	-	-	-	パラメータ	-	-	3月800,000(最低保証)/4月970,000(歩合)/5月800,000(最低保証)
前提	P-0a	入力パラメータ（4月月次予算・既存修正）	既存の4月予算を編集。目標月次利益:¥2,000,000/FD仕入費率:32.0%/PA人件費率:21.5%/目標客単価(税抜):¥4,500/目標客数:自動算出→売上(税抜)≈¥24,000,000を確認/売上構成比:ランチ20%,ディナー80%,フード40%,ドリンク60%,その他0%。反映・保存する	売上(税抜)≈¥24,000,000	-	月次予算設定	パラメータ(4月修正)	-	-	F=¥2,219,935/変動費用予算28.9%+FD32.0%+PA21.5%=変動費率82.4%/粗利率17.6%/Q≈5,333。地代家賃DEFAULT=970,000
前提	P-0b	入力パラメータ（5月月次予算・既存修正）	既存の5月予算を編集。目標月次利益:¥800,000/FD仕入費率:40.0%/PA人件費率:29.8%/目標客単価(税抜):¥4,500/目標客数:自動算出→売上(税抜)≈¥10,000,000を確認/売上構成比:ランチ20%,ディナー80%,フード40%,ドリンク60%,その他0%。反映・保存する	売上(税抜)≈¥10,000,000	-	月次予算設定	パラメータ(5月修正)	-	-	F+V_budget=¥2,222,279(固定額)/Sales=(G+F+V)/(1-FD-PA)=3,022,279/0.302≈10M。地代家賃DEFAULT=800,000
前提	P-1	クリーンアップ	既存の単月設定・賃料設定を全削除	一覧が空	P-1.png	設定画面	クリーン状態		未検証	既存データ排除
前提	P-2	4月月次予算修正	P-0aの手順で既存の4月予算を編集・保存する	4月の売上(税抜)が¥24,000,000になる	P-2.png	月次予算設定	売上額+MQ値の確認		未検証	R-3の前提条件。地代家賃DEFAULT=970,000(歩合>最低保証)
前提	P-3	5月月次予算修正	P-0bの手順で既存の5月予算を編集・保存する	5月の売上(税抜)が¥10,000,000になる	P-3.png	月次予算設定	売上額+MQ値の確認		未検証	R-5,R-9等の前提条件。地代家賃DEFAULT=800,000(最低保証適用)
前提	P-4	地代家賃親設定保存	P-0のパラメータで地代家賃親設定を作成し保存。月別設定モーダルで3月以降に反映→R-1確認済み。→次はR-2へ	賃料設定一覧に03/01表示/R-1済	P-4.png	設定画面	親設定の保存完了		未検証	P-2,P-3完了後に実施。完了後R-2から検証開始
シミュレーション	C-1	固定賃料	固定180,532/売上10,000,000	180,532	C-1.png	シミュレーション	計算額	180,532	OK	固定賃料
シミュレーション	C-2	変動×合算(なし)	固定180,532/歩合13.75%/売上10,000,000	1,555,532	C-2.png	シミュレーション	計算額	1,555,532	OK	180,532+10,000,000×13.75%
シミュレーション	C-3	変動×合算(全ON)	固定180,532/歩合13.75%/対象率50%/閾値3M/最低保証1.2M/売上10M	1,200,000	C-3.png	シミュレーション	計算額	1,200,000	OK	合算455,532→最低保証1,200,000
シミュレーション	C-4	変動×最大値(全ON)	固定180,532/歩合13.75%/対象率50%/閾値3M/最低保証800K/売上10M	800,000	C-4.png	シミュレーション	計算額	800,000	OK	歩合275,000→最低保証800,000
シミュレーション	C-5	段階×合算(全ON)	固定180,532/5%8%10%(3M7M)/対象率50%/最低保証1.2M/売上10M	1,200,000	C-5.png	シミュレーション	計算額	1,200,000	OK	歩合310,000/合算490,532→最低保証
シミュレーション	C-6	段階×最大値(全ON)	固定180,532/5%8%10%(3M7M)/対象率50%/最低保証800K/売上10M	800,000	C-6.png	シミュレーション	計算額	800,000	OK	歩合310,000→最低保証800,000
