段階	検証ID	検証内容	操作/前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
前提	P-0	入力パラメータ（地代家賃親設定・初期）	段階別歩合/最大値選択/3段階/固定180,532/5%8%10%(3M7M)/最低保証800,000/対象率50%/適用開始03/01	-	-	-	パラメータ	-	-	3月800,000(最低保証)/4月970,000(歩合)/5月800,000(最低保証)
前提	P-0a	入力パラメータ（4月月次予算・既存修正）	既存の4月予算を編集。目標月次利益:¥2,000,000/FD仕入費率:32.0%/PA人件費率:21.5%/目標客単価(税抜):¥4,500/目標客数:自動算出→売上(税抜)≈¥25,316,744を確認/売上構成比:ランチ20%,ディナー80%,フード40%,ドリンク60%,その他0%。反映・保存する	売上(税抜)≈¥25,316,744	-	月次予算設定	パラメータ(4月修正)	¥25,316,744	OK	F=¥2,455,747/変動費用予算28.9%+FD32.0%+PA21.5%=変動費率82.4%/粗利率17.6%/Q=5,626。地代家賃DEFAULT=970,000
前提	P-0b	入力パラメータ（5月月次予算・既存修正）	既存の5月予算を編集。目標月次利益:¥800,000/FD仕入費率:40.0%/PA人件費率:29.8%/目標客単価(税抜):¥4,500/目標客数:自動算出→売上(税抜)≈¥10,000,000を確認/売上構成比:ランチ20%,ディナー80%,フード40%,ドリンク60%,その他0%。反映・保存する	売上(税抜)≈¥10,000,000	-	月次予算設定	パラメータ(5月修正)	-	-	F+V_budget=¥2,222,279(固定額)/Sales=(G+F+V)/(1-FD-PA)=3,022,279/0.302≈10M。地代家賃DEFAULT=800,000
前提	P-1	クリーンアップ	既存の単月設定・賃料設定を全削除	一覧が空	P-1.png	設定画面	クリーン状態	「単月設定はありません」表示	OK	既存データ排除完了
前提	P-2	4月月次予算修正	P-0aの手順で既存の4月予算を編集・保存する	4月の売上(税抜)が≈¥25,316,744になる	P-2.png	月次予算設定	売上額+MQ値の確認	¥25,316,744	OK	R-3の前提条件。地代家賃DEFAULT=970,000(歩合>最低保証)
前提	P-3	5月月次予算修正	P-0bの手順で既存の5月予算を編集・保存する	5月の売上(税抜)が≈¥10,007,546になる	P-3.png	月次予算設定	売上額+MQ値の確認	¥10,007,546	OK	R-5,R-9等の前提条件。地代家賃DEFAULT=800,000(最低保証適用)
前提	P-4	地代家賃親設定の新規作成・保存	P-0のパラメータで親設定を新規作成。保存時に確認ダイアログ(パターンA)が表示される。「3月〜12月にデフォルト計算額を適用します」表示→適用する	賃料設定一覧に03/01表示/3月〜12月にデフォルト適用	P-4.png	設定画面+ダイアログ	親設定の保存+ダイアログ表示	「賃料設定を更新しました」表示/ダイアログ表示OK	OK	P-2,P-3完了後に実施。適用開始日から自動判定。完了後R-2から検証開始
シミュレーション	C-1	固定賃料	固定180,532/売上10,000,000	180,532	C-1.png	シミュレーション	計算額	180,532	OK	固定賃料
シミュレーション	C-2	変動×合算(なし)	固定180,532/歩合13.75%/売上10,000,000	1,555,532	C-2.png	シミュレーション	計算額	1,555,532	OK	180,532+10,000,000×13.75%
シミュレーション	C-3	変動×合算(全ON)	固定180,532/歩合13.75%/対象率50%/閾値3M/最低保証1.2M/売上10M	1,200,000	C-3.png	シミュレーション	計算額	1,200,000	OK	合算455,532→最低保証1,200,000
シミュレーション	C-4	変動×最大値(全ON)	固定180,532/歩合13.75%/対象率50%/閾値3M/最低保証800K/売上10M	800,000	C-4.png	シミュレーション	計算額	800,000	OK	歩合275,000→最低保証800,000
シミュレーション	C-5	段階×合算(全ON)	固定180,532/5%8%10%(3M7M)/対象率50%/最低保証1.2M/売上10M	1,200,000	C-5.png	シミュレーション	計算額	1,200,000	OK	歩合310,000/合算490,532→最低保証
シミュレーション	C-6	段階×最大値(全ON)	固定180,532/5%8%10%(3M7M)/対象率50%/最低保証800K/売上10M	800,000	C-6.png	シミュレーション	計算額	800,000	OK	歩合310,000→最低保証800,000
親設定	R-1	設定画面+一覧+費用設定	P-0で保存	一覧に03/01表示/費用設定「-」	R-1.png	設定+費用設定	一覧+費用設定	OK	OK	設定情報確認
親設定	R-2	当月(3月)全画面	保存後	予算800,000/予実=月額/期間=日割り/集計=予算月額+実績日割り	R-2.png	5画面	当月5画面に反映	予算800,000/予実800,000=100%/予実対比800,000=800,000/月次集計反映	OK	最低保証800,000。予算=実績。全画面正常
親設定	R-3	来月(4月)予算系	保存後/4月売上25.3M	年間予算1,035,837/月次予算に1,035,837	R-3.png	予算一覧+月次予算	来月は予算系のみ	予算構成4月¥1,035,837。修正後OK	OK(修正確認済)	修正前NG→修正後OK。BUG-3修正+歩合計算修正により正常反映。3月¥800,000/4月¥1,035,837/5月¥800,000
親設定	R-4	非適用月+未設定月	保存後	1-2月なし/6月ブランク	R-4.png	年間予算一覧	非適用月に値なし	1-2月なし/6月以降ブランク	OK	適用前+予算未設定
親設定	R-5	パラメータ変更後全画面	親設定を編集:固定¥300,000/段階3の歩合率を15%に変更/最低保証¥500,000に変更。他はP-0のまま。保存後5画面確認	3月500,000(最低保証)/4月1,528,659(歩合)/5月500,000(最低保証)	R-5.png	5画面	変更後DEFAULT反映	予算構成:3月¥500,000/4月¥1,528,659/5月¥500,000 OK。年間予実(予算):OK。年間予実(実績):4月¥500,000のまま NG。予実対比(4月日割り):¥115,385(¥500,000ベース) NG	NG(一部)	予算側は歩合計算正常反映。実績側で4月が最低保証額¥500,000のまま(本来¥1,528,659)。予実対比(期間)も¥500,000ベースで日割り計算。3月/5月はOK(最低保証=予算=実績)
親設定	R-6	営業利益差分	R-2→R-5	3月の差額=R-2の800,000-R-5の500,000=300,000	R-6.png	予算一覧(3月)	差分一致	3月地代家賃:R-2時¥800,000→R-5時¥500,000(差額300,000)	OK	売上変動によりP-0の期待値(710,655)から変わったが、差額は予算構成で確認可能
親設定	R-7	後ろ倒し03/01→04/01	適用開始日を03/01→04/01に変更して保存	3月の前設定額(¥500,000)が維持される or 03/01適用の旧設定が賃料設定一覧に別レコードとして残る	R-7.png	予算構成+年間予実+予実対比+賃料設定一覧	3月の地代家賃/賃料設定一覧の行数	3月の地代家賃が¥0になった。旧設定は残らず消失	NG	不具合:適用開始日を後ろ倒しすると前設定月の地代家賃が¥0になる。本来は賃料設定一覧に03/01適用の旧設定が別レコードとして残るべき(適用開始日が主キー)
親設定	R-8	前倒し04/01→03/01	R-7から適用開始日を03/01に戻して保存	3月に地代家賃が再適用される	R-8.png	予算構成+年間予実+予実対比	3月復活	3月¥500,000再適用/4月¥1,528,659維持/5月¥500,000維持。予実対比3月:予算¥500,000=実績¥500,000	OK	3月が再適用された。4月実績側NGはR-5の既知問題
親設定	R-9	翌々月への適用	適用開始05/01に変更して保存	3月4月の前設定額が維持される or 旧設定が別レコードとして残る/5月は適用範囲内	R-9.png	予算構成+賃料設定一覧	3月4月の地代家賃/5月の反映	3月¥0/4月¥0(消失)/5月¥500,000。ステータス「将来」表示	NG	R-7と同じ不具合。適用範囲外の月の地代家賃が¥0に消失。本来は旧設定が賃料設定一覧に別レコードとして残るべき
親設定	R-10	登録順序	A:地代家賃先→月次予算後/B:逆	両方4月970,000	R-10.png	年間予算一覧	順序非依存		未検証	どちらでも同じ結果
親設定	R-11	削除後	設定を削除	全月ブランクor0	R-11.png	年間予算一覧	値クリア		未検証	DEFAULT消滅
単月設定	S-1	単月変更+全画面反映	4月の単月地代モーダルで¥555,555に変更し保存。全画面で確認	差額表示/予算構成反映/年間予実対比予算=実績/予実対比日割り一致/月次集計反映/感度分析反映	S-1.png	モーダル+予算構成+年間予実+予実対比+月次集計+感度分析	全画面反映	デフォルト¥500,000→¥555,555(差額55,555増)/予算構成4月¥555,555/年間予実4月予算=実績=¥555,555/予実対比¥128,205=¥128,205(555,555×6/26)/月次集計・感度分析反映OK	OK	全画面正常反映。予算=実績一致
単月設定	S-3	単月設定月の予実対比	S-1後(4月/5月を¥555,555に設定)	年間予実対比:4月の予算¥555,555=実績¥555,555	S-3.png	年間予実対比	予算=実績か	4月予算¥555,555/実績¥555,555/100%/差額¥0	OK(修正確認済)	4月で検証OK。5月は予算期間外のためデータ計上なし(検証対象外)
単月設定	S-4	単月設定月の期間予実+月次集計	S-1後(4月/5月を¥555,555に設定)	予実対比(期間):4月の日割りが¥555,555ベース	S-4.png	予実対比(期間)+月次集計	日割り+実績変化	4月予実対比:予算¥128,205/実績¥128,205/100%(¥555,555×6/26)	OK(修正確認済)	4月で検証OK。日割り計算が単月設定値ベースで正常。5月は予算期間外のため検証対象外
単月設定	S-5	リセット+全画面復帰確認	4月の単月設定をリセット。全画面で確認	デフォルト計算額に復帰/予算構成・年間予実・予実対比・月次集計・感度分析で反映	S-5.png	単月モーダル+全画面	リセット後の全画面復帰	単月設定クリア/予算構成4月¥1,528,659復帰/モーダル¥500,000=¥500,000/感度分析固定費に小数表示あり	OK	リセット正常。実績側NGはR-5既知問題。感度分析の固定費入力欄に「443061.6153846154」と小数値表示(軽微な表示バグ)
適用月A(単月なし)	MA-1	確認ダイアログ表示+適用範囲	親設定を新規作成or編集保存（単月設定0件）	確認ダイアログ表示。「{N}月〜12月にデフォルト計算額を適用します」緑字。ボタンは「キャンセル」「適用する」の2つ。適用開始月以前は含まれない	MA-1.png	確認ダイアログ	ダイアログ表示+適用範囲+ボタン	ダイアログ表示OK/「3月〜12月に適用」緑字/「キャンセル」「適用する」2ボタンのみ	OK	修正確認済。戻るボタン削除OK。単月設定0件→パターンA正常
適用月A(単月なし)	MA-2	適用実行+結果確認	「適用する」押下	適用開始月〜12月にデフォルト計算額が適用される。予算一覧で確認	MA-2.png	設定画面+予算一覧	適用結果	適用実行OK。デフォルト計算額の反映はR-3参照	OK(R-3参照)	適用動作自体は正常。歩合計算の不具合はR-3に記録
適用月B(単月あり)	MB-1	モーダル表示+警告+適用範囲	親設定を編集保存（単月設定1件以上）	月別カードモーダル表示。「⚠単月地代家賃の登録が◯件あります」警告+適用範囲表示。ボタンは「キャンセル」「反映する」の2つ	MB-1.png	月別カードモーダル	モーダル表示+警告+ボタン	1件時「⚠1件」OK/2件時「⚠2件」OK/適用範囲3月〜12月/「キャンセル」「反映する」2ボタン	OK	修正確認済。戻るボタン削除OK。件数連動OK
適用月B(単月あり)	MB-2	カード初期状態	表示時	単月設定済み月:チェックOFF/オレンジ枠/「単月設定済」タグ/「→単月設定を維持」。通常月:チェックON/緑枠/「→デフォルト適用」	MB-2.png	月別カードモーダル	カード初期状態	単月設定月=OFF+単月設定タグ+金額表示、通常月=ON+デフォルト計算額	OK	カード初期状態は仕様通り
適用月B(単月あり)	MB-3	カード切替操作	単月設定月/通常月をクリック	チェックON/OFF切替。再クリックで元に戻る。反映ボタンを押すまで確定しない	MB-3.png	月別カードモーダル	ON/OFF切替	4月(単月設定)クリックでON→10件選択中に変化/再クリックでOFF→9件選択中に戻る。切替正常	OK	カード切替動作OK。「→デフォルトで上書き」テキストは未実装だがチェックON/OFFは正常
適用月B(単月あり)	MB-4	反映実行+結果確認	チェック選択後→反映する	チェックON月にデフォルト適用/チェックOFF月は現状維持。予算一覧で確認	MB-4.png	設定画面+予算構成+年間予実+予実対比+月次集計	適用結果	チェックOFF→単月設定¥555,555維持/チェックON→単月設定削除+デフォルト¥1,528,659復帰。全画面反映OK	OK	チェックOFF→維持、チェックON→上書き 両方正常動作。実績側NGはR-5既知問題
